,att_id,att_name,att_cat,att_price
0,82,ultimate_day_tour_to_victoria,"cruises,_sailing_&_water_tours",363.56
1,1912,victoria_guided_food_and_history_tour,walking_&_biking_tours,63.0
2,3303,victoria_guided_food_and_history_tour,recommended_experiences,63.0
3,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56
4,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56
5,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56
6,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56
7,2088,ultimate_day_tour_to_victoria,water_sports,363.56
8,568,victoria_guided_food_and_history_tour,"food,_wine_&_nightlife",63.0
9,218,victoria_guided_food_and_history_tour,cultural_&_theme_tours,63.0
10,2266,ultimate_day_tour_to_victoria,family_friendly,363.56
11,980,ultimate_day_tour_to_victoria,outdoor_activities,363.56
12,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56
13,2245,victoria_guided_food_and_history_tour,family_friendly,63.0
14,1931,ultimate_day_tour_to_victoria,walking_&_biking_tours,363.56
