,att_id,att_name,att_cat,att_price
0,3326,private_tour:_quebec_city_walking_tour,recommended_experiences,25.72
1,3316,niagara-on-the-lake_wine_tour_and_tastings_with_transport,recommended_experiences,40.0
2,1340,niagara_falls_helicopter_tour,tours_&_sightseeing,145.0
3,2712,private_tour:_quebec_city_walking_tour,private_&_custom_tours,25.72
4,1918,private_tour:_quebec_city_walking_tour,walking_&_biking_tours,25.72
5,690,tour_and_taste_okanagan's_wine_country,"food,_wine_&_nightlife",135.45
6,966,niagara_falls_helicopter_tour,outdoor_activities,145.0
7,573,niagara-on-the-lake_wine_tour_and_tastings_with_transport,"food,_wine_&_nightlife",40.0
8,2258,niagara_falls_helicopter_tour,family_friendly,145.0
9,14,niagara_falls_helicopter_tour,"air,_helicopter_&_balloon_tours",145.0
10,2606,niagara_falls_helicopter_tour,luxury_&_special_occasions,145.0
