,att_id,att_name,att_cat,att_price
0,3325,guided_tour_of_the_fairmont_le_château_frontenac_in_quebec_city,recommended_experiences,26.25
1,553,half-day_canadian_side_sightseeing_tour_of_niagara_falls_with_cruise_&_lunch,day_trips_&_excursions,199.0
2,700,beyond_the_bagel:_montreal_jewish_food_walking_tour,"food,_wine_&_nightlife",85.0
3,2922,120_minute_private_vacation_photography_session_with_local_photographer_in_santorini,private_&_custom_tours,886.09
4,1367,stanley_park_horse-drawn_tours,tours_&_sightseeing,42.0
5,1327,guided_tour_of_the_fairmont_le_château_frontenac_in_quebec_city,tours_&_sightseeing,26.25
6,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0
7,1144,mountain_explorer_atv_tour,outdoor_activities,103.95
8,2462,skagway_shore_excursion:_full-day_tour_of_the_yukon,shore_excursions,157.45
9,3639,half-day_canadian_side_sightseeing_tour_of_niagara_falls_with_cruise_&_lunch,recommended_experiences,199.0
10,3494,beyond_the_bagel:_montreal_jewish_food_walking_tour,recommended_experiences,85.0
11,3537,mountain_explorer_atv_tour,recommended_experiences,103.95
12,318,beyond_the_bagel:_montreal_jewish_food_walking_tour,cultural_&_theme_tours,85.0
