,att_id,att_name,att_cat,att_price
0,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,featured_tours_and_tickets,204.42
1,422,athabasca_glacier_snow_trip_from_banff,day_trips_&_excursions,273.0
2,3431,flavors_of_old_montreal_walking_tour,recommended_experiences,68.0
3,3360,athabasca_glacier_snow_trip_from_banff,recommended_experiences,273.0
4,2064,beyond_the_bike_lanes_bike_tour,walking_&_biking_tours,85.0
5,1316,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,tours_&_sightseeing,204.42
6,2090,riverside_rafting_on_clearwater_river_in_wells_gray_park,water_sports,104.0
7,971,athabasca_glacier_snow_trip_from_banff,outdoor_activities,273.0
8,3157,60_minute_private_vacation_photography_session_with_local_photographer_in_prague,private_&_custom_tours,477.13
9,3381,zipline_adventure_in_whistler,recommended_experiences,103.95
10,3304,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,recommended_experiences,204.41
11,666,flavors_of_old_montreal_walking_tour,"food,_wine_&_nightlife",68.0
