,att_id,att_name,att_cat,att_price
0,2088,ultimate_day_tour_to_victoria,water_sports,363.56
1,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56
2,82,ultimate_day_tour_to_victoria,"cruises,_sailing_&_water_tours",363.56
3,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56
4,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56
5,3623,athabasca_river_mile_5_morning_rafting_trip,recommended_experiences,72.45
6,1931,ultimate_day_tour_to_victoria,walking_&_biking_tours,363.56
7,2213,athabasca_river_mile_5_morning_rafting_trip,water_sports,72.45
8,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56
9,980,ultimate_day_tour_to_victoria,outdoor_activities,363.56
10,2266,ultimate_day_tour_to_victoria,family_friendly,363.56
11,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56
