,att_id,att_name,att_cat,att_price
0,1936,montmorency_falls_bike_tour_in_quebec,walking_&_biking_tours,77.0
1,1931,ultimate_day_tour_to_victoria,walking_&_biking_tours,363.56
2,980,ultimate_day_tour_to_victoria,outdoor_activities,363.56
3,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56
4,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56
5,2128,newfoundland_puffin_and_whale_watch_cruise,water_sports,72.0
6,2274,montmorency_falls_bike_tour_in_quebec,family_friendly,77.0
7,145,lady_muskoka_boat_cruise,"cruises,_sailing_&_water_tours",42.94
8,1589,4_hour_montreal_architecture_&_city_bike_tour_with_wine_or_beer,tours_&_sightseeing,86.23
9,713,4_hour_montreal_architecture_&_city_bike_tour_with_wine_or_beer,"food,_wine_&_nightlife",86.23
10,3521,4_hour_montreal_architecture_&_city_bike_tour_with_wine_or_beer,recommended_experiences,86.23
11,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56
12,3527,6-hour_eagle_viewing_river_float_trip_from_vancouver_with_lunch,recommended_experiences,157.49
13,510,4_hour_montreal_architecture_&_city_bike_tour_with_wine_or_beer,day_trips_&_excursions,86.23
14,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56
15,1368,montmorency_falls_bike_tour_in_quebec,tours_&_sightseeing,77.0
16,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56
17,333,6-hour_eagle_viewing_river_float_trip_from_vancouver_with_lunch,cultural_&_theme_tours,157.49
18,2088,ultimate_day_tour_to_victoria,water_sports,363.56
19,2266,ultimate_day_tour_to_victoria,family_friendly,363.56
20,82,ultimate_day_tour_to_victoria,"cruises,_sailing_&_water_tours",363.56
