,att_id,att_name,att_cat,att_price
0,2086,whale-watching_tour_from_vancouver,water_sports,138.5
1,1101,sea_to_sky_exotic_driving_experience,outdoor_activities,404.25
2,419,luxury_niagara_falls_day_trip_from_toronto_with_cruise_and_lunch,day_trips_&_excursions,169.0
3,2188,english_bay_jet_ski_tour_from_vancouver,water_sports,155.68
4,2265,whale-watching_tour_from_vancouver,family_friendly,138.5
5,3589,english_bay_jet_ski_tour_from_vancouver,recommended_experiences,155.68
6,2490,sea_to_sky_exotic_driving_experience,shore_excursions,404.25
7,2041,ebike_tour,walking_&_biking_tours,79.0
8,81,whale-watching_tour_from_vancouver,"cruises,_sailing_&_water_tours",138.5
9,405,luxury_niagara_falls_day_trip_from_toronto_with_cruise_and_lunch,day_trips_&_excursions,169.0
